image,caption_ar
page_75_img_101.jpeg,صورة لدجاجة بنية اللون.
page_8_img_2.jpeg,صبي يحدق بشمعة على طاولة.
page_25_img_20.jpeg,طبيب يرتدي زيًّا وقناعًا جراحيين.
page_49_img_66.jpeg,صبيّ يُحاوِل تناول طبقٍ طعامٍ مريع.
page_146_img_113.jpeg,يد تُلمس كوبًا فيه ماء وسائل قياس الحرارة.
page_20_img_13.jpeg,صبي يفحص قطعة قماش صغيرة.
page_7_img_1.jpeg,صورة لسان مصاب بحالة طبية.
page_27_img_31.jpeg,صورة لسَمَكَ مُلَوّن.
page_96_img_105.jpeg,كرة سلة ممسوكة بيد.
page_68_img_92.jpeg,صورة لحَمَلٍ مُرْسَمٍ بِأسلوبٍ فني.
page_22_img_14.png,صورة داكنة ضبابية على خلفية بيضاء.
page_25_img_22.jpeg,صبي يأكل طبقًا من الطعام الساخن.
page_96_img_106.jpeg,صورة لكرة سلة برتقالية اللون.
page_65_img_90.jpeg,صورة رسم بياني لسلمون رأس.
page_63_img_85.jpeg,صورة لفيل هندي في الماء.
page_35_img_46.jpeg,صورة لحيوان كوالا برتقالي اللون.
page_27_img_32.jpeg,طائر أبيض رمادي يطير فوق ماء أزرق.
page_24_img_17.jpeg,كلب يعض ذراع إنسان مصاب.
page_39_img_54.jpeg,أسرة تتناول الطعام مع طبق من شوربة بصل.
page_92_img_104.jpeg,أوراق شجر تتحرك مع رياح قوية.
page_62_img_81.jpeg,كلبٌ أبيضٌ مُزخرفٌ بقعٍ بنية.
page_37_img_50.jpeg,صورة لـ علبة  مُحفوظات من الفاكهة.
page_24_img_16.jpeg,طفل مصاب بطفح جلدي أحمر.
page_32_img_41.jpeg,صورة لطائر بطة ملونة.
page_43_img_57.jpeg,أرنب يأكل جزرًا وخضارًا.
page_61_img_80.jpeg,أرنب يأكل جزرًا و خضارًا.
page_68_img_93.jpeg,رئتان خروف.
page_71_img_94.jpeg,صورة رسم بياني لسماك.
page_15_img_8.jpeg,عامل يعمل على آلة طحن.
page_27_img_25.jpeg,صورة تمثل تمساحًا أخضر.
page_29_img_34.jpeg,صورة لصقر بالجناحين مفتوحين.
page_60_img_78.jpeg,نبتة جذعها مغروسة في التربة.
page_76_img_103.jpeg,صورة لمحتويات الجهاز الهضمي للفأر.
page_31_img_37.jpeg,صورة حصان برتقالي اللون يمشي.
page_54_img_69.jpeg,صورة لأسنان طفلة أو مراهق.
page_32_img_43.jpeg,صورة لنسر جناحيه مفتوحة.
page_144_img_112.jpeg,أطفال يلعبون بالرمال على الشاطئ.
page_67_img_91.jpeg,صورة تُظهر رئتي خروف.
page_46_img_61.jpeg,صورة لرمز أو شعار ذهبيّ مُكوّن من شكلٍ هرميّ.
page_27_img_26.jpeg,صورة لطائر البط.
page_57_img_73.jpeg,وعاء يحتوي على سائل بني.
page_32_img_42.jpeg,ساقا حصان في وضعية المشي.
page_26_img_23.jpeg,صورة لبطتين على نهر.
page_97_img_108.jpeg,صورة لسِمكة من نوعٍ ما.
page_27_img_29.jpeg,نموذجٌ ثلاثي الأبعاد لنمر مُصوّر.
page_8_img_3.jpeg,طفل يشم مادة كيميائية.
page_59_img_75.jpeg,صورة لشجرة صغيرة مزروعة في التربة.
page_72_img_97.jpeg,صورة لسُمك مستدير ملون.
page_27_img_28.jpeg,صورة دجاجة حمراء.
page_49_img_68.jpeg,صبي يمسك بقرنين من الآيس كريم.
page_46_img_60.jpeg,صورة لقشرة فطر مُجَففة.
page_38_img_53.jpeg,طبق كبير من الأرز المطهو مع الخضار واللحوم.
page_35_img_47.jpeg,أرنب قطبيٌٌّ في رسمٍ فنيّ.
page_72_img_96.jpeg,صورة تمثل تمساحًا أخضر.
page_59_img_77.jpeg,فرع شجرة مزود بأوراق خضراء.
page_25_img_21.jpeg,طفل يصليح سيارة لعبة بيديه.
page_37_img_49.jpeg,عبوة صلصة أو بهارات.
page_46_img_63.jpeg,صورة لأسنان  مضغ  حيوان.
page_63_img_84.jpeg,أرنبٌ مُصَوَّرٌ بِشَكْلٍ غَيْرِ تَقْلِيدِيّ.
page_59_img_76.jpeg,نبتة صغيرة مزروعة في التربة.
page_148_img_114.jpeg,خريطة إدارية لولاية تونس.
page_57_img_72.jpeg,صورة لنبتة جذعها مغروسة في وعاء.
page_32_img_40.jpeg,سمكة برّاقة ذات ألوان مائية.
page_46_img_62.jpeg,صورة لأسنان في مرحلة نمو.
page_26_img_24.jpeg,صورة لحمامة ذات ألوان متعددة.
page_55_img_71.jpeg,أرنب بنيّ يأكل جزرًا.
page_65_img_88.jpeg,صورة خروف أبيض جالس.
page_45_img_58.jpeg,طبق من المأكولات المغربية.
page_27_img_27.jpeg,صورة لطائر نعامة في وضعية سير.
page_13_img_6.jpeg,شخصان يتحدثان سراً.
page_65_img_89.jpeg,سمكة مُلوّنة على خلفية بيضاء.
page_60_img_79.jpeg,شجرة ذات جذع ملتوي وفرع طويل.
page_37_img_48.jpeg,وعاء زجاجي يحتوي على مربى أو عسل.
page_132_img_111.jpeg,صورة لبطارية ومصباح كهربائي متصلين.
page_75_img_100.jpeg,صورة لطائر صغير على غصن.
page_18_img_9.jpeg,صورة لعين خضراء ذات رموش.
page_33_img_44.jpeg,صورة توضيحية لعضلات الكوع.
page_6_img_0.jpeg,طفل يستخدم حاسوبًا شخصيًا.
page_54_img_70.jpeg,صورة لسن منقاري.
page_27_img_30.jpeg,صورة لطائر بني اللون على غصن.
page_62_img_82.jpeg,سمكة ملونة ذات ألوان زاهية.
page_29_img_35.jpeg,أرنب برّي يقفز بسرعة.
page_63_img_86.jpeg,سمكة ذهبية ذات خطوط سوداء.
page_49_img_67.jpeg,صبي يُعاني من مشكلة في حبل.
page_72_img_95.jpeg,توضيح حركة زعانف السمك.
page_31_img_38.jpeg,أرنبٌ يركضُ بسرعةٍ.
page_24_img_18.jpeg,صورة لعين مصابة بالتهاب.
page_47_img_64.jpeg,مخطط أسنان للأطفال وجزء من السن.
page_20_img_12.jpeg,ام تُرضع طفلها رضاعة طبيعية.
page_112_img_109.jpeg,مدرسةٌ في يومٍ مُعتدلٍ مع رياحٍ خفيفة.
page_58_img_74.jpeg,طفلان يزرعان شجرة.
page_31_img_36.jpeg,صورةٌ لنُسرٍ جارحٍ مُرسمٍ.
page_33_img_45.jpeg,صورة توضيحية لعضلات الساق.
page_18_img_10.jpeg,صورة لأذن بشرية.
page_32_img_39.jpeg,سمكة صفراء ذات زعانف حمراء.
page_72_img_99.jpeg,صورة توضيحية لحركة زعانف السمكة.
page_11_img_5.jpeg,يد ممدودة مفتوحة للأعلى.
page_10_img_4.jpeg,طفل يطبخ على موقد.
page_65_img_87.jpeg,رؤيةٌ مُبسطةٌ لرئتين الإنسان.
page_97_img_107.png,صورة بيضاء فارغة.
page_42_img_56.jpeg,صورة مقربة لقطعة من عظم.
page_24_img_19.jpeg,طفل يُعاني من احتقان الأنف.
page_118_img_110.jpeg,فتى يرفع يده ليصعد بالون.
page_38_img_51.jpeg,صورة لعلبة  مُحَفَظة من فاكهة الأشرطة.
page_49_img_65.jpeg,صورة لجسم حيوان منقار.
page_45_img_59.jpeg,كوب قهوة أو شاي.
page_13_img_7.jpeg,عالمٌ في مختبرٍ يُجري تجربةً كيميائيةً.
page_38_img_52.jpeg,صورة لزجاجة مربى برتقالي.
page_39_img_55.jpeg,صورة لكوب قهوة أو شاي.
page_75_img_102.jpeg,صورة لنمر مُصوّر بشكل جميل.
page_27_img_33.jpeg,صورة لـ كوالة برتقالية اللون.
page_20_img_11.jpeg,طفلان، أحدهما يعطس، والآخر متجنب.
page_23_img_15.png,صورة دائرة سوداء ضبابية.
page_72_img_98.jpeg,صورة لسمكتين تظهر حركة الماء عند التنفس.
